feature	gain	weight
candidate_accepted_by_rule	0.0	0.0
panel_confidence	3.218407392501831	38.0
panel_margin	1.483976125717163	20.0
panel_support	1.2279764413833618	12.0
panel_conflict	1.6329492330551147	19.0
support_conflict_ratio	2.3569376468658447	25.0
panel_haplotypes	0.0	0.0
anchors	0.0	0.0
best_vs_second_margin	1.8077131509780884	42.0
n_block_candidates	0.0	0.0
log_panel_margin	0.5585982203483582	3.0
log_panel_support	1.7006235122680664	1.0
log_panel_conflict	1.976970911026001	8.0
log_best_vs_second_margin	1.3927536010742188	6.0
panel_margin_per_haplotype	1.8129864931106567	29.0
panel_support_per_haplotype	1.5644729137420654	26.0
panel_conflict_per_haplotype	1.2215464115142822	20.0
confidence_x_log_margin	2.612240791320801	42.0
confidence_x_log_support_conflict_ratio	1.2730345726013184	4.0
nearest_phase6_anchor_dist_bp	1.8264130353927612	36.0
nearest_same_block_anchor_dist_bp	1.4325451850891113	21.0
left_anchors_20kb	2.7749061584472656	4.0
right_anchors_20kb	1.0838677883148193	2.0
left_nearest_anchor_dist_bp	1.6148117780685425	14.0
right_nearest_anchor_dist_bp	1.4026058912277222	11.0
left_anchors_50kb	0.0	0.0
right_anchors_50kb	1.134141206741333	2.0
phase6_block_anchor_count	2.783095121383667	12.0
phase6_block_span_bp	1.4408371448516846	7.0
phase6_block_density_per_kb	1.3474754095077515	37.0
log_phase6_block_span_bp	2.1010026931762695	1.0
log_phase6_block_anchor_count	4.019692420959473	3.0
donor_anchor_count	0.0	0.0
donor_panel_usable_anchors	0.0	0.0
donor_support_plus	2.1988468170166016	41.0
donor_support_minus	1.3437378406524658	29.0
donor_total_support	1.7119152545928955	23.0
donor_margin	14.33646297454834	58.0
donor_confidence	3.398409366607666	9.0
donor_entropy	3.5303444862365723	13.0
donor_top1_score	1.5723519325256348	18.0
donor_top2_score	1.1656173467636108	10.0
donor_top_margin	3.29105281829834	24.0
donor_effective_n	3.7545762062072754	67.0
donor_left_support_plus	1.7067885398864746	4.0
donor_left_support_minus	1.7523882389068604	21.0
donor_right_support_plus	1.1825183629989624	1.0
donor_right_support_minus	1.6050564050674438	8.0
donor_left_confidence	1.2111268043518066	6.0
donor_right_confidence	1.1735358238220215	2.0
donor_mean_anchor_dist_bp	1.0645414590835571	2.0
donor_min_anchor_dist_bp	1.2434159517288208	1.0
donor_max_anchor_dist_bp	1.3722659349441528	14.0
hmm_like_log_margin	5.008666038513184	97.0
log_donor_margin	13.555752754211426	12.0
log_donor_total_support	2.5234718322753906	3.0
log_donor_top1_score	1.494260311126709	1.0
log_donor_effective_n	3.510075330734253	14.0
abs_hmm_like_log_margin	5.118633270263672	42.0
phase8_anchor_count	0.0	0.0
phase8_panel_usable_anchors	6.7304301261901855	7.0
phase8_cm_span	1.1169577836990356	30.0
phase8_pbwt_plus_support	1.2879739999771118	12.0
phase8_pbwt_minus_support	3.0598011016845703	76.0
phase8_pbwt_total_support	2.853040933609009	29.0
phase8_pbwt_margin	6.27268648147583	11.0
phase8_pbwt_confidence	36.360050201416016	69.0
phase8_pbwt_entropy	18.561912536621094	9.0
phase8_pbwt_top_plus_score	1.209949254989624	6.0
phase8_pbwt_top_minus_score	1.7750945091247559	18.0
phase8_pbwt_top_margin	0.0	0.0
phase8_pbwt_effective_donors	1.5518486499786377	11.0
phase8_hmm_log_margin	5.102954387664795	45.0
phase8_hmm_abs_log_margin	46.13103103637695	32.0
log_phase8_pbwt_margin	1.5016487836837769	3.0
log_phase8_pbwt_total_support	5.895341873168945	3.0
log_phase8_pbwt_effective_donors	1.267049789428711	3.0
