method	setting	n_windows	accepted_prediction_rows	total_pred_sites_nonzero	total_hamming_errors	hamming_error_rate	total_switch_errors	switch_error_rate	phased_site_accuracy_pct	truth_correct_pct	mean_raw_block_n50_bp	mean_median_block_span_bp	mean_max_block_span_bp
Phase8F_ancestry_weighted_multiwindow	threshold_0.50	17	NA	64413	250	0.004783677320360086	207	0.005258405473321815	99.521632267964	70.60013304237543	82378.64705882352	740.8823529411765	NA
Phase8F_ancestry_weighted_multiwindow	threshold_0.70	17	NA	64017	218	0.004117173947346874	174	0.00433938016076035	99.58828260526532	70.0812423317283	82162.35294117648	714.3529411764706	NA
Phase8F_ancestry_weighted_multiwindow	threshold_0.80	17	NA	63560	195	0.0035222842367647637	150	0.0036661754010036463	99.64777157632352	69.51837841829787	82140.4705882353	685.8235294117648	NA
Phase8F_ancestry_weighted_multiwindow	threshold_0.90	17	NA	62759	162	0.0028884054769300668	109	0.0026267862897748507	99.711159452307	68.45719388748748	82297.4705882353	643.8823529411765	NA
Phase9B_filtered_bridge_on_Phase8F_t0.80	p995_c500_m50_u3_g75k	17	681	63560	195	0.0035222842367647637	152	0.0036583424798256894	99.64777157632352	69.51837841829787	83046.58823529411	678.7058823529412	145988.88235294117
Phase9B_filtered_bridge_on_Phase8F_t0.80	p995_c550_m50_u3_g25k	17	619	63560	195	0.0035222842367647637	152	0.003663446260289377	99.64777157632352	69.51837841829787	82934.88235294117	681.2352941176471	145988.88235294117
Phase9B_filtered_bridge_on_Phase8F_t0.80	p996_c500_m50_u3_g75k	17	383	63560	195	0.0035222842367647637	151	0.003659761987983656	99.64777157632352	69.51837841829787	82670.76470588235	681.9411764705883	142633.76470588235
Phase9B_filtered_bridge_on_Phase8F_t0.80	p997_c500_m25_u2_g100k	17	49	63560	195	0.0035222842367647637	150	0.0036619551384337746	99.64777157632352	69.51837841829787	82002.0	683.1764705882352	138778.4705882353
WhatsHap_Illumina30x	same_17_windows	17	NA	76635	1269	0.019556473362203147	935	0.018157807857378673	98.04435266377969	82.84609274282812	231392.0588235294	592.8235294117648	265789.64705882355
